sep=,
DeviceTag:,Dot2_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:43:44_523 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2079862830,-70.998817,6.347188,-27.461918,0.012499,0.033361,0.056361,-0.198268,2.751143,0.555213
2,2079879497,-71.004532,6.361861,-27.508099,0.031346,0.026101,0.038834,-0.613014,2.822372,0.636828
3,2079896164,-71.003044,6.380769,-27.555218,0.046291,-0.000038,0.015241,-0.173628,2.954803,0.859876
4,2079912831,-70.978081,6.403444,-27.600935,0.006922,0.056013,0.050493,1.228084,2.951627,1.100085
5,2079929498,-70.951843,6.427773,-27.644554,0.022045,0.124926,0.099247,1.289401,2.865146,1.233553
6,2079946165,-70.964386,6.451196,-27.691313,0.038360,0.116549,0.123740,-1.015134,3.025136,1.120575
7,2079962832,-71.006859,6.473226,-27.741488,0.068310,0.032805,0.172520,-2.786636,3.190177,0.976766
8,2079979499,-71.047714,6.493927,-27.789719,-0.003850,0.054436,0.133248,-2.702165,3.053380,0.942278
9,2079996166,-71.069244,6.514802,-27.840477,0.002288,-0.062416,0.190805,-1.522521,3.200826,0.904673
10,2080012833,-71.085495,6.531693,-27.894203,-0.006775,0.021576,0.138154,-1.186412,3.290913,0.621871
11,2080029500,-71.135002,6.547652,-27.951351,0.000033,0.061580,0.143304,-3.157316,3.465123,0.504910
12,2080046167,-71.209450,6.562217,-28.011438,-0.003211,0.032268,0.207699,-4.631532,3.604565,0.373318
13,2080062834,-71.273506,6.572744,-28.071417,0.041060,-0.010411,0.215300,-4.010488,3.520664,0.150174
14,2080079501,-71.302399,6.580280,-28.127501,0.063031,0.021984,0.216800,-1.926229,3.244111,0.057737
15,2080096168,-71.296890,6.584387,-28.179651,0.029112,0.082161,0.222858,0.111358,2.954201,-0.060817
16,2080112835,-71.276581,6.586499,-28.227146,0.008562,0.085182,0.157967,0.967917,2.653834,-0.086033
17,2080129502,-71.268402,6.586905,-28.277048,0.054672,0.075212,0.138800,0.256338,2.756829,-0.229503
18,2080146169,-71.289230,6.585501,-28.330044,0.078452,0.074428,0.170486,-1.464124,2.898852,-0.391913
19,2080162836,-71.317192,6.582460,-28.384907,0.085823,0.074354,0.156297,-1.876220,2.971086,-0.518030
20,2080179503,-71.331154,6.578123,-28.438137,0.063064,0.059785,0.124973,-1.049903,2.855259,-0.559509
21,2080196170,-71.332916,6.574390,-28.490662,0.039450,-0.013723,0.085146,-0.324923,2.826714,-0.511409
22,2080212837,-71.326210,6.571331,-28.545122,0.060400,-0.071958,0.097695,0.199235,2.950077,-0.510397
23,2080229504,-71.305885,6.568837,-28.600416,0.062894,-0.043961,0.094313,1.019545,3.007642,-0.494594
24,2080246171,-71.264923,6.568199,-28.655540,0.060823,0.000059,0.110330,2.256677,3.032037,-0.387187
25,2080262838,-71.208031,6.568208,-28.710831,0.081943,0.059422,0.112563,3.213209,3.055243,-0.356670
26,2080279505,-71.149353,6.568059,-28.763580,0.043912,0.070431,0.089358,3.305210,2.906241,-0.319083
27,2080296172,-71.103394,6.569621,-28.817112,0.035421,0.024701,0.094955,2.545730,2.982644,-0.239671
28,2080312839,-71.079483,6.571139,-28.873232,0.038732,-0.001603,0.141629,1.241902,3.128815,-0.294136
29,2080329506,-71.076050,6.570947,-28.934143,0.013697,0.027631,0.239181,0.045328,3.364017,-0.484490
30,2080346173,-71.067879,6.565799,-28.996424,0.017568,0.005121,0.273091,0.338132,3.345845,-0.792854
31,2080362840,-71.056877,6.554086,-29.060522,-0.033899,-0.019805,0.226971,0.520514,3.319752,-1.200979
32,2080379507,-71.046791,6.540339,-29.129122,-0.071858,-0.036949,0.260467,0.496901,3.533118,-1.403505
33,2080396174,-71.027191,6.520312,-29.199106,-0.013727,-0.038996,0.308155,1.073204,3.489187,-1.788369
34,2080412841,-71.007164,6.495552,-29.269567,0.021672,0.083258,0.329712,1.102556,3.423016,-2.066881
35,2080429508,-70.994423,6.464343,-29.339836,-0.020693,0.086921,0.352017,0.661378,3.284118,-2.430056
36,2080446175,-70.984184,6.425172,-29.409500,-0.044642,0.079878,0.309714,0.503539,3.094187,-2.871337
37,2080462842,-70.976799,6.380471,-29.477720,-0.041684,0.028845,0.247839,0.320005,2.905428,-3.157899
38,2080479509,-70.965431,6.331596,-29.544722,-0.048717,-0.043096,0.236349,0.548886,2.753973,-3.370670
39,2080496176,-70.941002,6.278366,-29.611244,-0.013387,-0.026296,0.245221,1.323876,2.640586,-3.610200
40,2080512843,-70.912086,6.222985,-29.677689,-0.015803,-0.001002,0.193385,1.589876,2.591167,-3.731271
41,2080529510,-70.883942,6.167614,-29.746208,0.006620,-0.021313,0.150844,1.553212,2.709190,-3.773468
42,2080546177,-70.853081,6.112653,-29.817297,0.011221,-0.039232,0.140058,1.730285,2.857385,-3.800989
43,2080562844,-70.825508,6.059952,-29.892412,-0.029690,-0.022066,0.055596,1.551918,3.130685,-3.754232
44,2080579511,-70.826706,6.009105,-29.973766,0.001427,-0.034551,0.062490,-0.136055,3.514863,-3.771368
45,2080596178,-70.854362,5.961180,-30.059635,0.013355,0.006649,0.121117,-1.701695,3.831455,-3.694530
46,2080612845,-70.884468,5.913406,-30.146614,0.008718,0.045882,0.122523,-1.843205,3.896774,-3.704634
47,2080629512,-70.904861,5.866850,-30.231230,-0.003712,0.014177,0.139782,-1.281954,3.790840,-3.588186
48,2080646179,-70.897453,5.822257,-30.315231,-0.051597,-0.062018,0.216006,0.378729,3.795296,-3.464412
49,2080662846,-70.860847,5.775480,-30.396938,-0.047391,-0.042070,0.159404,2.113592,3.621258,-3.544401
50,2080679513,-70.834106,5.730267,-30.478811,-0.029863,-0.003413,0.098423,1.518174,3.660241,-3.462095
51,2080696180,-70.833382,5.686272,-30.564278,-0.065147,-0.005155,0.136568,-0.024114,3.884864,-3.464515
