sep=,
DeviceTag:,Xsens DOT 1
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:43:44_533 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2079879497,104.873413,0.128584,-29.573715,-0.015884,0.036525,0.031707,0.258695,-2.565483,0.494165
2,2079896164,104.869797,0.109457,-29.620171,-0.070597,0.004591,0.025274,-0.290166,-2.454913,0.725025
3,2079912831,104.843895,0.088507,-29.667204,-0.013016,-0.021888,0.021492,-1.628007,-2.461073,0.839463
4,2079929498,104.818909,0.066094,-29.714256,0.014333,-0.005532,-0.005933,-1.573499,-2.441461,0.923647
5,2079946165,104.832848,0.042763,-29.760555,-0.019401,-0.016303,-0.017292,0.760166,-2.383185,0.965118
6,2079962832,104.874939,0.020089,-29.805050,-0.117778,-0.052566,0.001255,2.448222,-2.288495,0.900446
7,2079979499,104.915474,-0.000879,-29.850821,0.012492,0.009725,0.004735,2.353711,-2.385695,0.822661
8,2079996166,104.936340,-0.019753,-29.898426,-0.023299,0.001502,0.018867,1.173068,-2.524362,0.731147
9,2080012833,104.953590,-0.037087,-29.949154,-0.018387,-0.004003,-0.021067,0.954976,-2.728431,0.691127
10,2080029500,105.003418,-0.053472,-30.000072,-0.007122,0.027353,-0.047952,2.907779,-2.752764,0.640337
11,2080046167,105.077477,-0.065697,-30.052252,-0.019323,-0.005223,-0.006579,4.361453,-2.889100,0.422257
12,2080062834,105.140060,-0.075996,-30.104393,-0.050307,0.002525,0.048796,3.673752,-2.915661,0.313608
13,2080079501,105.168358,-0.082890,-30.156096,-0.062754,0.007580,0.048138,1.614580,-2.941567,0.111665
14,2080096168,105.161980,-0.087493,-30.209063,-0.023931,-0.039010,0.026771,-0.465268,-3.051740,-0.000141
15,2080112835,105.141144,-0.089198,-30.259155,0.015554,-0.023605,-0.008731,-1.333935,-2.929580,-0.214212
16,2080129502,105.132607,-0.089839,-30.310047,-0.033134,0.014315,-0.019184,-0.594599,-2.994061,-0.263926
17,2080146169,105.153152,-0.088235,-30.359703,-0.084005,-0.021541,-0.013967,1.149620,-2.957217,-0.412774
18,2080162836,105.181473,-0.083565,-30.409529,-0.112758,-0.047621,0.011800,1.615745,-3.013962,-0.586646
19,2080179503,105.196480,-0.078310,-30.461060,-0.079549,-0.040543,0.021315,0.817986,-3.122598,-0.591858
20,2080196170,105.199707,-0.074139,-30.514889,-0.054310,0.010488,0.002779,0.111261,-3.237648,-0.492912
21,2080212837,105.194534,-0.069458,-30.569332,-0.071399,0.039448,-0.002004,-0.392591,-3.281614,-0.512408
22,2080229504,105.173347,-0.067276,-30.627535,-0.071632,0.037087,0.027225,-1.352184,-3.460814,-0.308992
23,2080246171,105.132599,-0.065988,-30.685982,-0.088797,-0.034015,0.016844,-2.526795,-3.461198,-0.255090
24,2080262838,105.075943,-0.064887,-30.746397,-0.088540,-0.015131,0.022492,-3.480459,-3.572767,-0.216479
25,2080279505,105.019638,-0.066061,-30.806763,-0.043373,0.015254,-0.021473,-3.460737,-3.535180,-0.088722
26,2080296172,104.976173,-0.065709,-30.866041,-0.022202,0.038083,-0.016586,-2.690076,-3.497043,-0.196629
