sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:43:44_531 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2079862830,2.318753,-1.804204,-158.086227,0.002043,-0.001307,0.234454,-2.042766,-1.267969,-3.488347
2,2079879497,2.305779,-1.822687,-158.136780,0.014926,-0.001198,0.232445,-2.335840,-1.205846,-3.561369
3,2079896164,2.289894,-1.841932,-158.187241,0.030655,0.011276,0.218432,-2.511146,-1.250566,-3.553212
4,2079912831,2.271566,-1.858427,-158.240219,0.015081,0.034757,0.197581,-2.663567,-1.090858,-3.711882
5,2079929498,2.251662,-1.874962,-158.290665,0.014091,0.013068,0.211856,-2.754147,-1.086273,-3.559410
6,2079946165,2.232517,-1.892340,-158.341415,-0.005748,0.028104,0.222881,-2.710272,-1.136576,-3.579298
7,2079962832,2.213975,-1.909114,-158.392242,0.010934,0.023433,0.191407,-2.675042,-1.099348,-3.581642
8,2079979499,2.196082,-1.925352,-158.443878,0.046827,0.031227,0.171510,-2.638544,-1.068165,-3.633521
9,2079996166,2.179750,-1.939154,-158.494843,0.022042,0.034122,0.188040,-2.544622,-0.919867,-3.600365
10,2080012833,2.164135,-1.952021,-158.545670,-0.020356,0.020266,0.177096,-2.501887,-0.862585,-3.595882
11,2080029500,2.151410,-1.965436,-158.596664,-0.025581,0.013656,0.181006,-2.329680,-0.895113,-3.602055
12,2080046167,2.141163,-1.977262,-158.649002,0.008520,0.021313,0.189386,-2.184610,-0.802190,-3.685207
13,2080062834,2.134890,-1.988293,-158.701309,0.040075,0.037788,0.189342,-1.946373,-0.753974,-3.686269
14,2080079501,2.129174,-1.996232,-158.753113,0.046873,0.031141,0.169667,-1.912257,-0.567257,-3.665190
15,2080096168,2.125206,-2.002310,-158.804413,0.042865,0.052997,0.155030,-1.806861,-0.454344,-3.637400
16,2080112835,2.123118,-2.007231,-158.857971,0.006961,0.034833,0.160603,-1.699338,-0.389915,-3.775619
17,2080129502,2.123822,-2.010955,-158.909286,0.014679,0.021247,0.162468,-1.527081,-0.312949,-3.642895
18,2080146169,2.126708,-2.013425,-158.962433,0.055012,0.043316,0.178908,-1.400375,-0.242040,-3.756807
19,2080162836,2.129780,-2.013433,-159.015671,0.095050,0.049495,0.160749,-1.389246,-0.094729,-3.765669
20,2080179503,2.133327,-2.008993,-159.070114,0.076386,0.029310,0.183044,-1.363415,0.168768,-3.850818
21,2080196170,2.136168,-2.004291,-159.123886,0.057451,0.011241,0.167616,-1.403871,0.186019,-3.807162
22,2080212837,2.139585,-1.998585,-159.178787,0.039766,0.001457,0.176928,-1.371765,0.243365,-3.879171
23,2080229504,2.141963,-1.990043,-159.236679,0.033901,-0.012581,0.195957,-1.439946,0.406467,-4.063852
24,2080246171,2.141792,-1.980777,-159.293884,0.082932,0.032381,0.192305,-1.590779,0.451597,-4.023371
25,2080262838,2.139853,-1.969503,-159.353271,0.082789,0.031648,0.197030,-1.701157,0.566764,-4.163332
26,2080279505,2.137138,-1.955954,-159.412933,0.022347,0.008930,0.178968,-1.747619,0.702755,-4.183835
27,2080296172,2.135316,-1.941341,-159.474899,-0.010614,0.002657,0.197382,-1.697661,0.761549,-4.322438
28,2080312839,2.134315,-1.925454,-159.537460,-0.006117,0.019671,0.204903,-1.648638,0.836671,-4.359871
29,2080329506,2.135483,-1.908563,-159.601135,0.022683,0.059010,0.185807,-1.519883,0.894428,-4.429794
30,2080346173,2.138997,-1.889702,-159.665100,0.017412,0.052940,0.221581,-1.378143,1.011708,-4.453703
31,2080362840,2.145649,-1.870613,-159.730743,-0.045838,0.051778,0.197868,-1.192130,1.021236,-4.554566
32,2080379507,2.157732,-1.849529,-159.798386,-0.055981,0.061449,0.228649,-0.868629,1.135763,-4.677865
33,2080396174,2.175430,-1.829733,-159.866241,-0.053289,0.040091,0.225632,-0.530657,1.056940,-4.687509
34,2080412841,2.200121,-1.808630,-159.935577,-0.004674,0.080556,0.224691,-0.112465,1.130308,-4.782967
35,2080429508,2.229190,-1.787060,-160.005783,-0.011931,0.091229,0.215008,0.150225,1.154294,-4.834154
36,2080446175,2.263622,-1.765081,-160.077759,-0.069640,0.077593,0.237573,0.470358,1.172390,-4.941561
37,2080462842,2.304564,-1.743309,-160.151031,-0.071441,0.072353,0.230815,0.860119,1.153846,-5.022202
38,2080479509,2.351111,-1.721975,-160.224106,-0.058869,0.054294,0.237650,1.198886,1.124763,-5.009294
39,2080496176,2.399765,-1.699251,-160.299957,-0.057929,0.027198,0.241580,1.321584,1.197515,-5.181898
