sep=,
DeviceTag:,Dot6_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:44:41_803 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2137147309,-175.906021,-25.948778,115.011314,-2.364902,-6.732428,-12.537973,291.311096,132.680466,29.609892
2,2137163976,-172.176056,-28.077164,114.568390,-3.610821,-6.746132,-11.454276,212.234146,128.490311,9.514452
3,2137180643,-169.452087,-30.089931,114.304787,-3.411858,-4.821299,-11.303321,156.251221,120.448624,-6.451688
4,2137197310,-167.571350,-31.924591,114.145714,-3.463002,-1.477921,-11.285972,108.423965,108.528015,-14.759323
5,2137213977,-166.321243,-33.562355,114.066704,-4.136910,0.156033,-9.688404,72.933891,95.644249,-19.177937
6,2137230644,-165.584930,-35.030586,114.133987,-4.552697,0.386313,-7.793547,46.934105,83.652802,-25.498241
7,2137247311,-165.330093,-36.397221,114.368698,-4.297693,1.251497,-6.719503,23.981016,75.487160,-32.552830
8,2137263978,-165.597519,-37.671642,114.764641,-4.039716,2.770650,-6.524784,-1.276449,68.229439,-38.448925
9,2137280645,-166.314072,-38.819874,115.294472,-3.657166,3.728108,-6.724750,-22.863237,59.726372,-41.838577
10,2137297312,-167.274719,-39.847393,115.903534,-3.223338,3.683122,-6.390337,-34.034023,52.493397,-42.498344
11,2137313979,-168.306686,-40.756729,116.585686,-2.958848,3.500324,-6.106307,-35.007519,45.633053,-42.940338
12,2137330646,-169.256012,-41.548531,117.339302,-3.205256,2.937777,-5.807609,-26.776440,38.866074,-43.525890
13,2137347313,-170.079803,-42.242332,118.147247,-3.094610,2.785838,-5.044124,-16.637470,33.351646,-43.851162
14,2137363980,-171.020889,-42.848366,119.019775,-3.158048,3.062130,-3.817678,-20.653536,28.387707,-44.903786
15,2137380647,-172.172989,-43.379570,119.958481,-3.139113,2.916406,-2.711708,-30.226334,24.354219,-46.216545
16,2137397314,-173.464767,-43.847870,120.934647,-2.995460,2.673335,-1.908331,-36.705551,21.391966,-46.470512
17,2137413981,-174.832520,-44.247353,121.951729,-3.178565,2.469165,-0.779871,-39.244553,18.170940,-46.961056
18,2137430648,-176.265213,-44.586746,123.011314,-3.017742,1.990737,0.168184,-41.081001,15.558425,-47.738113
19,2137447315,-177.764664,-44.878712,124.105247,-2.525582,1.300260,0.781813,-43.392418,13.834332,-48.361877
20,2137463982,-179.291534,-45.135120,125.213036,-2.255615,1.303001,1.111337,-44.232368,12.928272,-48.263527
21,2137480649,179.163605,-45.366642,126.315224,-2.158802,1.748192,1.654279,-45.355846,12.688851,-47.434368
22,2137497316,177.620224,-45.569820,127.402184,-2.468852,1.849201,2.324177,-45.746319,12.203890,-46.270008
23,2137513983,176.116974,-45.752796,128.475647,-2.125940,1.379272,2.635274,-43.764217,12.143097,-45.244408
24,2137530650,174.707870,-45.921288,129.507736,-1.872868,0.680485,2.507521,-39.762939,12.239421,-43.094414
25,2137547317,173.430435,-46.061893,130.525055,-1.787362,0.144556,2.368700,-32.388012,11.476855,-42.209167
26,2137563984,172.317673,-46.180634,131.537445,-1.805414,0.227050,1.727067,-22.628075,10.993403,-41.801510
27,2137580651,171.391800,-46.275265,132.531036,-1.537341,1.273332,1.009140,-12.153410,10.157393,-40.933765
28,2137597318,170.655975,-46.311222,133.438354,-0.615771,3.258558,0.621264,-4.448181,6.685711,-37.731239
29,2137613985,170.006424,-46.290554,134.228210,0.616899,4.282008,-0.315315,-4.358748,2.946401,-33.391445
30,2137630652,169.434906,-46.214935,134.900909,1.461727,3.984833,-1.252533,-4.774409,-0.830496,-29.165092
31,2137647319,169.011276,-46.054653,135.469238,1.389704,3.166696,-2.196844,-0.464295,-6.387285,-25.893913
32,2137663986,168.788300,-45.808968,135.947571,1.484006,1.790897,-3.057331,7.617549,-11.989744,-23.294386
33,2137680653,168.808502,-45.492386,136.363983,1.025899,0.374098,-3.072774,19.458586,-16.612026,-21.684244
34,2137697320,169.110779,-45.115173,136.750610,0.681077,-0.887127,-2.521170,35.008915,-20.461393,-21.202654
35,2137713987,169.640717,-44.702194,137.133301,0.354873,-1.266909,-2.189012,48.389545,-22.723906,-21.404734
36,2137730654,170.317352,-44.267197,137.544418,0.441454,-0.915615,-1.737803,58.262634,-24.004831,-22.723482
37,2137747321,171.101929,-43.803154,137.964966,1.085848,0.120272,-1.479477,64.989487,-25.911160,-23.247736
38,2137763988,172.026016,-43.321232,138.314621,1.969649,0.968556,-1.067368,70.284355,-27.734758,-20.128559
39,2137780655,173.076538,-42.831654,138.573334,1.848136,1.131669,-0.509892,74.018021,-29.020811,-15.890705
40,2137797322,174.219452,-42.358471,138.771820,1.571457,0.655471,0.008103,77.025513,-28.609570,-12.683806
41,2137813989,175.378494,-41.930553,138.937790,1.259169,0.041752,0.579035,76.619080,-26.263611,-10.500109
42,2137830656,176.531693,-41.562012,139.097061,0.458552,-0.307307,1.299760,75.952171,-22.915813,-9.490539
43,2137847323,177.659393,-41.254223,139.231552,-0.136671,-0.607697,1.504078,73.396347,-19.497162,-7.794951
44,2137863990,178.658569,-41.006939,139.352341,-0.433238,-0.918267,1.677469,65.114410,-16.014431,-6.749452
45,2137880657,179.531265,-40.815052,139.500534,-0.579614,-1.019562,1.971645,58.579746,-12.765919,-7.720984
