sep=,
DeviceTag:,Xsens DOT 1
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:44:41_808 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2137147309,167.161499,-27.392660,121.049980,2.894287,-3.739929,-6.387124,279.038239,148.086487,74.306389
2,2137163976,170.738632,-29.849863,120.605949,1.278895,-4.318883,-6.570797,201.760269,140.356155,50.134430
3,2137180643,173.328003,-32.075031,120.330338,1.007947,-3.822075,-5.742651,146.764191,130.406448,31.455931
4,2137197310,175.057327,-34.056129,120.192413,-0.274226,-2.006500,-5.620887,99.160782,117.715469,17.824944
5,2137213977,176.126892,-35.804653,120.184280,-0.353258,-0.338223,-4.536879,63.818516,104.734894,7.348296
6,2137230644,176.712036,-37.355156,120.333206,-0.462346,0.558061,-3.965897,40.356403,93.461731,-2.466478
7,2137247311,176.830246,-38.741806,120.666901,-0.440481,1.790637,-3.919565,19.356697,84.114693,-12.173403
8,2137263978,176.428467,-39.978554,121.177574,-0.541961,2.784344,-3.465144,-4.745970,75.619225,-20.402891
9,2137280645,175.571426,-41.064682,121.829865,-1.122784,3.100535,-3.687797,-26.064663,67.222275,-26.243240
10,2137297312,174.441040,-42.009171,122.581627,-1.474386,2.739604,-3.701225,-37.981400,59.511242,-29.805861
11,2137313979,173.232697,-42.828690,123.411003,-1.291615,2.650998,-3.672925,-39.006802,52.939095,-32.347321
12,2137330646,172.123978,-43.541058,124.293831,-2.059623,1.981641,-3.752905,-30.347822,47.409462,-33.960953
13,2137347313,171.144455,-44.159653,125.227875,-1.873720,2.005075,-3.263227,-20.026077,42.682102,-35.686180
14,2137363980,170.075531,-44.684170,126.215904,-1.731334,2.527405,-2.134159,-22.726149,38.025749,-37.739502
15,2137380647,168.815826,-45.112934,127.254105,-1.978384,2.487018,-1.278620,-31.697226,33.428482,-39.770351
16,2137397314,167.410522,-45.462383,128.332733,-2.159277,2.177800,-0.648202,-38.414932,29.936193,-41.339878
17,2137413981,165.932068,-45.738754,129.447357,-2.320630,2.018769,0.455410,-41.014114,26.949594,-42.814640
18,2137430648,164.405716,-45.950203,130.594330,-2.276507,1.773655,1.198183,-42.299149,24.548630,-44.205517
