sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-12_15:44:41_805 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2137163976,-7.026188,-2.046087,41.857311,0.637091,-0.377812,0.824778,-9.711780,-1.303561,22.369326
2,2137180643,-7.129643,-2.020530,42.241295,0.577515,-0.260910,0.830830,-6.865793,-1.283673,22.468843
3,2137197310,-7.192220,-1.995956,42.632977,0.488808,-0.186162,0.820661,-4.406392,-1.433007,22.917242
4,2137213977,-7.218119,-1.972149,43.031242,0.399138,-0.082107,0.789774,-2.201377,-1.545115,23.289961
5,2137230644,-7.216582,-1.948967,43.438557,0.306598,0.049230,0.771968,-0.546025,-1.655941,23.828127
6,2137247311,-7.195370,-1.927310,43.857391,0.192477,0.180751,0.755322,0.649110,-1.828123,24.502176
7,2137263978,-7.165854,-1.906354,44.285076,0.135110,0.342459,0.649749,1.155846,-1.924786,25.022694
8,2137280645,-7.136086,-1.887599,44.723999,0.105689,0.477272,0.583217,1.184494,-2.126653,25.683456
9,2137297312,-7.111537,-1.870853,45.172070,0.124287,0.617181,0.609553,0.881380,-2.301064,26.211248
10,2137313979,-7.092607,-1.854139,45.625057,0.128770,0.614212,0.456170,0.546006,-2.329442,26.512081
11,2137330646,-7.079573,-1.836603,46.082741,0.146309,0.589968,0.370501,0.193139,-2.306160,26.789461
12,2137347313,-7.068850,-1.817757,46.543407,0.197292,0.586957,0.306701,0.051591,-2.243960,26.977320
13,2137363980,-7.057194,-1.797461,47.004150,0.234179,0.568691,0.212081,0.098475,-2.152036,26.993572
14,2137380647,-7.041387,-1.777931,47.461220,0.230243,0.540072,0.143450,0.331307,-2.163792,26.777140
15,2137397314,-7.018773,-1.756759,47.915337,0.167051,0.507282,0.066318,0.724643,-2.034870,26.615074
16,2137413981,-6.988282,-1.735462,48.364399,0.139844,0.462652,0.003337,1.178450,-1.976908,26.313545
17,2137430648,-6.950263,-1.714424,48.808388,0.119795,0.417670,-0.023281,1.610780,-1.938514,26.008123
18,2137447315,-6.906389,-1.693883,49.245426,0.103365,0.305568,-0.077638,1.940275,-1.898699,25.596664
19,2137463982,-6.858848,-1.674397,49.674664,0.125238,0.132944,-0.131061,2.137762,-1.884228,25.126173
20,2137480649,-6.807221,-1.656199,50.094185,0.149703,0.213279,-0.154471,2.357385,-1.868988,24.537979
21,2137497316,-6.759015,-1.636271,50.505760,0.067271,0.438654,-0.215637,2.130808,-1.687381,24.077581
22,2137513983,-6.721665,-1.614092,50.911133,-0.047424,0.559898,-0.192178,1.459510,-1.491072,23.728464
23,2137530650,-6.702834,-1.591515,51.313389,-0.193520,0.588218,-0.184906,0.333664,-1.432534,23.539606
24,2137547317,-6.700470,-1.567022,51.714191,-0.382329,0.353882,-0.255162,-0.666572,-1.304188,23.479446
25,2137563984,-6.697848,-1.538119,52.114712,-0.534506,0.074718,-0.215624,-0.663255,-1.037931,23.488100
26,2137580651,-6.684863,-1.510094,52.515305,-0.651277,-0.004945,-0.266565,-0.053979,-1.087108,23.484848
