sep=,
DeviceTag:,Dot2_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-11-17_10:45:32_044 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,2721314108,-2.852767,-4.091595,8.943997,-16.306934,22.077406,-22.363150,0.236663,0.121510,0.258113,-0.928770,
2,2721330775,-3.321570,-5.776545,11.429448,-21.080170,25.883739,-23.810284,0.232731,0.123409,0.262214,-0.928365,
3,2721347442,-3.942649,-5.451846,12.481926,-37.104702,28.275663,-21.564657,0.229287,0.125167,0.268507,-0.927187,
4,2721364109,-3.905445,-5.245560,11.194139,-26.834536,30.364174,-18.852947,0.225930,0.127649,0.273422,-0.926236,
5,2721380776,-3.474131,-5.866398,9.568755,-17.534182,31.370014,-18.265877,0.222430,0.130590,0.277096,-0.925581,
6,2721397443,-3.134074,-5.053921,9.194256,-27.023994,33.460968,-17.098078,0.219174,0.133548,0.282081,-0.924429,
7,2721414110,-3.144365,-4.914958,9.714701,-41.471447,35.027878,-17.668535,0.216046,0.136224,0.289054,-0.922619,
8,2721430777,-3.212958,-5.489524,10.490875,-49.461407,37.337505,-15.567748,0.213243,0.139036,0.297107,-0.920290,
9,2721447444,-2.977168,-5.270276,9.506142,-47.706318,39.368065,-14.576023,0.210433,0.142205,0.304943,-0.917887,
10,2721464111,-2.925918,-4.934037,8.160243,-38.360611,40.127422,-13.817340,0.207480,0.145784,0.311515,-0.915789,
11,2721480778,-2.972562,-4.914421,8.144566,-34.196274,40.532452,-13.921201,0.204393,0.149528,0.317526,-0.913813,
12,2721497445,-3.466138,-5.592304,9.666609,-42.992043,41.560894,-12.363808,0.201642,0.153207,0.324679,-0.911297,
13,2721514112,-3.991000,-5.763264,9.531875,-56.304207,43.328259,-9.668456,0.199443,0.156844,0.333559,-0.907949,
14,2721530779,-4.412747,-4.761542,6.292870,-49.444824,43.504723,-8.511963,0.197212,0.160742,0.341477,-0.904806,
15,2721547446,-3.834364,-4.624469,6.178456,-42.986130,41.280144,-9.183796,0.194835,0.164486,0.348469,-0.901978,
16,2721564113,-3.798824,-5.070673,7.473891,-50.385025,41.124733,-9.193624,0.192626,0.167986,0.356398,-0.898703,
17,2721580780,-3.794988,-6.006786,8.448472,-66.218613,41.637775,-7.922845,0.190922,0.171157,0.366340,-0.894461,
18,2721597447,-3.666730,-5.605916,7.431885,-71.121193,42.081078,-7.387445,0.189359,0.174254,0.376869,-0.889809,
19,2721614114,-3.424172,-5.991174,7.871544,-75.806351,42.764889,-6.290026,0.187991,0.177343,0.387937,-0.884717,
20,2721630781,-4.076278,-5.674305,6.986407,-76.030724,43.780087,-5.632783,0.186626,0.180566,0.398982,-0.879426,
21,2721647448,-4.523315,-6.914652,6.765447,-73.724617,44.124996,-4.726832,0.185267,0.183918,0.409655,-0.874096,
22,2721664115,-4.889199,-6.570268,7.377292,-73.313370,45.063786,-2.894772,0.184044,0.187482,0.420187,-0.868580,
23,2721680782,-4.767644,-6.932759,8.841331,-83.328575,47.238171,-2.378831,0.182996,0.191050,0.431956,-0.862228,
24,2721697449,-4.081855,-7.606855,5.317800,-88.824104,47.120510,2.269232,0.182653,0.194711,0.444193,-0.855236,
25,2721714116,-3.618217,-6.495714,2.695503,-85.357986,45.829777,2.625165,0.182302,0.198286,0.455864,-0.848321,
26,2721730783,-3.410390,-6.217385,2.396099,-74.393448,45.028412,3.044695,0.181707,0.202045,0.466069,-0.841992,
27,2721747450,-4.630858,-5.912949,4.431053,-73.499458,44.725891,-0.408546,0.180655,0.205525,0.476185,-0.835693,
28,2721764117,-5.616741,-8.689014,5.711916,-84.899818,44.001816,1.747515,0.180224,0.208731,0.487520,-0.828424,
29,2721780784,-5.426667,-7.794153,5.150927,-95.200783,41.909473,5.535429,0.180673,0.211640,0.499824,-0.820215,
30,2721797451,-5.154424,-5.946859,5.098555,-95.408035,41.917152,6.846044,0.181243,0.214590,0.511999,-0.811769,
31,2721814118,-4.841860,-5.487396,4.053672,-84.727211,41.886784,5.711921,0.181310,0.217690,0.522841,-0.803981,
32,2721830785,-4.677648,-6.187022,2.831701,-80.457718,42.819386,5.521832,0.181116,0.220958,0.533119,-0.796348,
33,2721847452,-4.677437,-6.428613,1.871126,-83.059212,40.689697,5.773412,0.181168,0.223890,0.543540,-0.788433,
34,2721864119,-4.631166,-6.597163,1.912755,-75.899559,38.834091,5.802124,0.181107,0.226764,0.552999,-0.781013,
35,2721880786,-4.761869,-6.572141,1.797574,-73.935280,37.278080,5.450905,0.181039,0.229451,0.562124,-0.773695,
36,2721897453,-4.574632,-7.341365,0.358988,-68.424698,35.905529,5.130774,0.180839,0.232071,0.570528,-0.766778,
37,2721914120,-4.528712,-8.241861,-0.817252,-68.359390,32.362823,6.234700,0.181031,0.234362,0.578725,-0.759862,
38,2721930787,-4.550330,-8.869583,-0.453887,-59.750187,28.774498,7.780384,0.181383,0.236587,0.585763,-0.753671,
39,2721947454,-4.855027,-7.427536,-0.514018,-35.180664,26.190971,9.496802,0.181285,0.239308,0.589941,-0.749565,
40,2721964121,-5.177424,-7.383070,-1.868792,-15.598759,23.776503,8.659456,0.180616,0.242203,0.591933,-0.747223,
41,2721980788,-5.219607,-8.933167,-1.374920,-6.056928,19.424355,9.582362,0.180083,0.244952,0.592733,-0.745820,
42,2721997455,-4.538815,-9.366337,-0.547083,-26.774645,14.141920,12.454113,0.181051,0.246829,0.595531,-0.742731,
43,2722014122,-4.587502,-8.641693,-0.214360,-45.901455,10.798129,14.338857,0.183192,0.247995,0.600219,-0.738029,
44,2722030789,-5.162765,-6.655674,-1.399996,-29.395481,7.612580,14.522262,0.185029,0.249267,0.603023,-0.734850,
45,2722047456,-5.697037,-5.360377,-0.394979,11.783358,5.117787,11.263741,0.185240,0.251090,0.601468,-0.735451,
46,2722064123,-5.494511,-5.358587,1.389017,27.344910,2.976941,9.344956,0.184863,0.252934,0.598254,-0.737533,
47,2722080790,-5.087614,-6.612478,4.153759,-0.342941,2.957403,7.427883,0.185299,0.253862,0.598073,-0.737250,
48,2722097457,-5.440091,-7.316210,3.975064,-37.093777,4.756053,8.948566,0.187095,0.254120,0.601816,-0.733653,
49,2722114124,-5.955436,-6.522871,1.654299,-51.111435,4.516222,7.558270,0.189275,0.253838,0.607073,-0.728844,
