sep=,
DeviceTag:,Dot6_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-11-17_10:16:38_930 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,1004222230,0.179370,0.192503,-0.169517,0.133414,0.111455,0.170360,0.250765,-0.382826,0.726103,-0.513163,
2,1004238897,0.121660,-8.774687,-5.298142,10.462351,-4.182517,0.979244,0.250275,-0.384029,0.728123,-0.509629,
3,1004255564,0.306184,-8.967092,-5.185103,7.027403,-2.359045,1.139631,0.244586,-0.387293,0.737800,-0.495816,
4,1004272231,0.323716,-9.367899,-5.297394,-4.754793,-0.969338,1.013501,0.237677,-0.390882,0.746826,-0.482672,
5,1004288898,0.490803,-9.148641,-4.668724,5.750673,-0.561059,1.522349,0.233447,-0.393676,0.751949,-0.474441,
6,1004305565,0.092541,-9.518059,-4.288829,3.848032,-0.949373,1.409076,0.230713,-0.395480,0.754344,-0.470461,
7,1004322232,0.081509,-10.519477,-3.779093,32.330475,-3.677011,1.153927,0.232146,-0.395103,0.752999,-0.472223,
8,1004338899,-0.448575,-7.748539,-3.147217,52.951992,-6.489132,1.818014,0.236731,-0.393086,0.748657,-0.478492,
9,1004355566,-1.225798,-11.698895,-5.539393,60.180729,-6.932244,2.784437,0.242523,-0.390256,0.743862,-0.485338,
10,1004372233,0.074209,-8.393462,-4.745688,83.154007,-8.252615,2.577271,0.250373,-0.386224,0.737958,-0.493520,
11,1004388900,0.363154,-8.088358,-5.857896,17.583757,-3.444182,2.840803,0.253004,-0.384815,0.737294,-0.494271,
12,1004405567,-0.634027,-9.432615,-5.493289,14.347665,-1.920352,4.389681,0.254270,-0.384000,0.737609,-0.493785,
13,1004422234,-1.414397,-10.878576,-5.953360,48.162514,-3.001974,4.832983,0.257553,-0.381956,0.735690,-0.496524,
14,1004438901,-0.826968,-11.122564,-4.644557,102.867714,-4.259948,5.778051,0.264332,-0.377591,0.729946,-0.504710,
15,1004455568,-0.476333,-13.649795,-4.038763,162.147949,-8.537365,4.170500,0.274742,-0.371158,0.719146,-0.519218,
16,1004472235,-0.486803,-19.638855,-7.344277,523.476196,-38.442566,5.244959,0.307044,-0.351126,0.677374,-0.568858,
17,1004488902,1.318180,-4.443707,-2.905367,649.135254,-33.533020,6.444486,0.342710,-0.322615,0.621014,-0.626746,
18,1004505569,0.423372,2.567342,5.692211,197.393555,-6.315385,5.357024,0.352478,-0.313144,0.604248,-0.642327,
19,1004522236,-0.874513,-11.343436,2.561365,-29.297468,2.171048,3.288674,0.351359,-0.314038,0.607482,-0.639447,
20,1004538903,-0.233962,-13.949517,2.442998,129.175751,-5.910876,1.201460,0.358124,-0.307502,0.595094,-0.650426,
21,1004555570,-0.973520,-7.685595,4.475566,158.448730,-7.622913,0.773566,0.366148,-0.299476,0.579383,-0.663751,
22,1004572237,-0.661936,-8.632220,3.936909,150.472519,-12.711680,1.700096,0.374370,-0.291858,0.563552,-0.676073,
23,1004588904,-0.776660,-8.174273,0.890409,171.448517,-12.979436,2.534161,0.383425,-0.282776,0.545180,-0.689784,
24,1004605571,-0.872943,-8.319103,2.240262,129.389816,-10.181562,2.298895,0.390199,-0.275719,0.531122,-0.699738,
25,1004622238,-0.842928,-8.939087,3.935406,104.883659,-9.111331,0.903158,0.395603,-0.269987,0.519503,-0.707617,
26,1004638905,-0.922189,-9.417542,2.915787,93.869736,-9.727868,0.265849,0.400467,-0.264911,0.508821,-0.714527,
27,1004655572,-1.072184,-9.555593,3.228259,70.208488,-7.513758,-1.158227,0.403999,-0.261084,0.500703,-0.719664,
28,1004672239,-1.095367,-9.981100,4.093294,52.780548,-5.614514,-2.593337,0.406515,-0.258187,0.494521,-0.723556,
29,1004688906,-0.941239,-8.867066,4.208215,46.488373,-4.187810,-3.392197,0.408573,-0.255558,0.489076,-0.727024,
30,1004705573,-0.841565,-9.884348,3.657152,24.324018,-2.342517,-4.538350,0.409532,-0.254124,0.486038,-0.729021,
31,1004722240,-0.475288,-8.491496,2.753343,11.856260,0.495471,-6.163085,0.409620,-0.253290,0.484497,-0.730287,
32,1004738907,-0.235106,-8.607424,3.903668,-5.058996,2.176715,-5.410594,0.408997,-0.253300,0.484949,-0.730332,
33,1004755574,-0.378548,-8.429038,4.337203,2.357258,1.482815,-5.557342,0.408652,-0.252998,0.484561,-0.730887,
34,1004772241,-0.749910,-9.188157,4.776803,-11.540295,0.801351,-4.539827,0.407940,-0.253540,0.485623,-0.730393,
35,1004788908,-0.968132,-9.642014,4.929408,-3.114850,-0.525918,-5.241883,0.407561,-0.253768,0.485667,-0.730496,
36,1004805575,-0.743315,-9.066620,4.412854,6.051814,-0.987754,-5.008539,0.407586,-0.253472,0.484710,-0.731219,
37,1004822242,-0.533927,-9.068318,4.651140,14.261576,-1.959475,-5.070664,0.407969,-0.252802,0.482819,-0.732488,
38,1004838909,-0.021271,-8.830598,4.836056,21.668018,-3.121374,-5.345188,0.408665,-0.251841,0.480044,-0.734252,
39,1004855576,0.064729,-9.058795,4.882062,19.422684,-3.744352,-4.987889,0.409339,-0.251076,0.477452,-0.735828,
40,1004872243,0.041043,-9.423557,4.950074,12.514318,-4.169149,-5.433021,0.409721,-0.250823,0.475532,-0.736944,
41,1004888910,0.015819,-9.396550,4.844877,1.842046,-3.878186,-6.219661,0.409591,-0.251254,0.474729,-0.737387,
42,1004905577,0.277717,-9.393351,4.374203,-2.575677,-3.634840,-7.220144,0.409160,-0.252013,0.474372,-0.737597,
43,1004922244,0.202311,-9.307271,3.927110,-2.053037,-2.466862,-7.727224,0.408589,-0.252687,0.474013,-0.737913,
44,1004938911,0.189948,-9.024317,4.300132,0.157678,-2.238999,-8.617075,0.407965,-0.253301,0.473414,-0.738433,
45,1004955578,0.139085,-8.593510,4.426418,5.544761,-2.723348,-8.769395,0.407540,-0.253680,0.472203,-0.739312,
46,1004972245,-0.189650,-8.633737,4.257945,11.613401,-3.548194,-8.274586,0.407438,-0.253767,0.470302,-0.740549,
47,1004988912,-0.401642,-8.318340,4.353185,7.602614,-3.405837,-8.216161,0.407177,-0.254077,0.468848,-0.741507,
48,1005005579,-0.452439,-8.512067,4.100563,-4.409931,-2.311995,-7.278028,0.406501,-0.254912,0.468793,-0.741627,
49,1005022246,-0.552001,-8.330677,4.202103,-8.063546,-2.162327,-7.133050,0.405693,-0.255938,0.469158,-0.741485,
50,1005038913,-0.432359,-7.994920,3.910632,-6.838990,-1.726297,-6.515104,0.404971,-0.256796,0.469447,-0.741400,
51,1005055580,-0.249064,-8.462047,3.952587,-8.203559,-0.988779,-6.121718,0.404189,-0.257626,0.469950,-0.741220,
52,1005072247,-0.115322,-8.044985,4.267170,-0.684576,-1.608426,-5.286833,0.403819,-0.258029,0.469645,-0.741475,
53,1005088914,-0.200319,-8.441216,4.270705,-1.742663,-2.147343,-4.605701,0.403517,-0.258507,0.469446,-0.741599,
54,1005105581,-0.289969,-8.325430,4.536303,-2.425318,-2.634663,-4.410379,0.403243,-0.259065,0.469300,-0.741645,
55,1005122248,-0.320166,-8.808077,4.245624,-1.979221,-2.324442,-3.873281,0.403025,-0.259523,0.469142,-0.741704,
56,1005138915,-0.341613,-9.014945,4.546027,-3.454283,-2.369725,-4.575901,0.402679,-0.260121,0.469119,-0.741697,
57,1005155582,-0.288885,-8.793061,4.391872,-2.250588,-2.120309,-4.350087,0.402386,-0.260603,0.468993,-0.741766,
58,1005172249,-0.145139,-9.135323,4.432273,-4.421956,-2.211695,-4.482607,0.402003,-0.261230,0.469093,-0.741690,
59,1005188916,0.016253,-8.958485,4.259739,-6.710311,-2.111243,-4.253323,0.401549,-0.261968,0.469458,-0.741445,
60,1005205583,0.126693,-8.998058,3.923660,-4.686984,-2.229151,-3.806419,0.401225,-0.262574,0.469617,-0.741305,
61,1005222250,0.256458,-8.827721,3.571048,-4.008580,-1.817093,-3.230684,0.400955,-0.263067,0.469756,-0.741189,
62,1005238917,0.286867,-9.171035,3.792795,-0.058371,-1.780300,-2.535081,0.400900,-0.263291,0.469506,-0.741297,
63,1005255584,0.236400,-9.322566,3.549454,7.541129,-1.630185,-2.158011,0.401158,-0.263041,0.468467,-0.741903,
64,1005272251,0.262216,-8.916664,4.206787,15.036542,-1.805966,-1.831053,0.401741,-0.262362,0.466632,-0.742984,
65,1005288918,0.388837,-8.638908,4.271406,10.725469,-1.552489,-1.282492,0.402195,-0.261876,0.465297,-0.743747,
66,1005305585,0.496857,-8.320034,4.135938,4.259898,-0.905166,-0.073880,0.402485,-0.261622,0.464741,-0.744027,
67,1005322252,0.377935,-8.500378,4.158989,2.591640,-0.489356,0.996507,0.402795,-0.261355,0.464426,-0.744149,
68,1005338919,0.209629,-8.341743,3.996672,7.500713,-0.191634,2.471543,0.403426,-0.260675,0.463652,-0.744529,
69,1005355586,0.095381,-8.214217,4.237398,6.540467,-0.002548,3.714399,0.404140,-0.259951,0.463040,-0.744776,
70,1005372253,-0.179993,-8.602635,4.121369,4.999478,0.328425,5.006035,0.404912,-0.259195,0.462661,-0.744855,
71,1005388920,-0.284637,-8.121886,4.154586,3.570929,0.416021,5.573599,0.405686,-0.258474,0.462467,-0.744805,
72,1005405587,-0.420936,-8.001155,4.158468,-6.254610,0.859505,6.594138,0.406173,-0.258212,0.463402,-0.744049,
73,1005422254,-0.448629,-8.201926,4.250697,-11.842821,0.880418,6.915747,0.406485,-0.258251,0.464956,-0.742895,
74,1005438921,-0.506420,-8.727364,3.999917,-2.099576,0.595617,7.416293,0.407240,-0.257705,0.465458,-0.742356,
75,1005455588,-0.549932,-8.854454,4.242430,15.496704,0.180819,7.488425,0.408690,-0.256153,0.464044,-0.742981,
76,1005472255,-0.547126,-8.819864,4.612480,15.621258,-0.171144,7.478460,0.410166,-0.254627,0.462597,-0.743595,
77,1005488922,-0.556266,-8.942727,4.735017,8.771578,-0.048408,6.996130,0.411329,-0.253522,0.461879,-0.743776,
78,1005505589,-0.416460,-8.866002,4.775612,-6.077037,0.297562,6.422545,0.411861,-0.253301,0.462766,-0.743005,
79,1005522256,-0.278797,-9.182383,4.545369,-10.907071,0.571810,6.011899,0.412154,-0.253363,0.464174,-0.741943,
80,1005538923,-0.329010,-9.002510,4.256406,-6.165234,0.286907,5.645942,0.412601,-0.253197,0.465039,-0.741209,
81,1005555590,-0.800620,-9.466385,4.293461,-7.435958,-0.117754,5.124110,0.412970,-0.253186,0.466001,-0.740402,
82,1005572257,-0.747166,-9.630115,4.085269,7.139036,-1.496627,4.031370,0.413853,-0.252519,0.465277,-0.740592,
83,1005588924,-0.818513,-8.498172,3.860473,7.063413,-1.546597,3.163982,0.414643,-0.251920,0.464536,-0.740820,
84,1005605591,-0.623760,-8.331779,4.041151,-8.888225,0.182023,2.562699,0.414668,-0.252133,0.465601,-0.740064,
85,1005622258,-0.495431,-8.420757,4.161591,-26.292450,2.254775,1.964147,0.413848,-0.253209,0.468642,-0.738234,
86,1005638925,-0.269880,-8.397118,4.970391,-39.267632,3.424494,2.239785,0.412493,-0.254915,0.473147,-0.735527,
87,1005655592,-0.211294,-9.586994,5.011373,-52.790752,2.843242,2.560616,0.410695,-0.257458,0.479044,-0.731821,
88,1005672259,-0.538422,-9.959613,4.548600,-7.712306,-0.324475,2.924799,0.410834,-0.257612,0.479948,-0.731096,
89,1005688926,-0.413118,-8.980391,3.573617,-3.358440,-1.152700,2.753154,0.411176,-0.257605,0.480333,-0.730653,
90,1005705593,-0.788025,-8.400501,3.973856,-1.868907,-1.816350,3.410248,0.411689,-0.257535,0.480549,-0.730247,
91,1005722260,-0.479589,-8.607474,3.671059,-13.579464,-1.250413,3.279318,0.411712,-0.258111,0.482037,-0.729049,
92,1005738927,-0.272419,-8.921879,3.687640,-5.059457,-1.368256,3.941405,0.412132,-0.258142,0.482642,-0.728401,
93,1005755594,0.196375,-9.194133,3.554356,-0.304471,-0.942253,3.778955,0.412681,-0.257856,0.482763,-0.728110,
94,1005772261,0.621516,-9.700363,3.539549,13.181577,-1.468454,4.991924,0.413895,-0.256740,0.481470,-0.728671,
95,1005788928,0.873935,-10.074438,2.785776,28.009840,-1.501677,4.605349,0.415611,-0.254772,0.478586,-0.730284,
96,1005805595,1.170062,-7.430898,2.529089,30.706280,-0.754040,5.141236,0.417411,-0.252539,0.475479,-0.732060,
97,1005822262,1.970196,-9.299770,2.711240,7.633529,1.646558,6.995055,0.418378,-0.251337,0.475038,-0.732208,
98,1005838929,1.341884,-10.448277,2.525645,16.314917,2.755116,5.503758,0.419408,-0.249620,0.473684,-0.733083,
99,1005855596,1.463547,-10.132093,2.779401,11.323874,3.795478,5.500388,0.420166,-0.248121,0.472934,-0.733642,
100,1005872263,-0.395511,-9.568131,3.224404,4.611049,4.069660,4.946639,0.420587,-0.247065,0.472903,-0.733777,
101,1005888930,-0.764048,-11.529208,1.767331,-5.185254,6.820363,4.564806,0.420423,-0.246345,0.474081,-0.733353,
102,1005905597,-0.659140,-11.355566,2.579300,10.279569,8.003481,2.277233,0.420476,-0.244724,0.473629,-0.734157,
103,1005922264,-2.002467,-9.337129,4.689983,7.104140,9.706725,2.009004,0.420263,-0.243141,0.473631,-0.734803,
104,1005938931,-3.177532,-11.045381,7.258507,-18.739920,10.834056,0.524376,0.418905,-0.243104,0.476412,-0.733792,
105,1005955598,-3.350248,-11.489345,8.723259,-23.910952,7.102307,-1.846244,0.417385,-0.243909,0.479423,-0.732429,
106,1005972265,-2.852659,-11.391156,7.754801,-27.898951,2.538027,-3.255358,0.415907,-0.245500,0.482510,-0.730708,
107,1005988932,-2.683652,-12.303114,6.742007,-14.247000,-0.318520,-6.589615,0.414777,-0.246771,0.483839,-0.730044,
108,1006005599,-2.754680,-11.013659,6.140833,2.543912,-3.039025,-9.816442,0.414111,-0.247523,0.483102,-0.730655,
109,1006022266,-2.839277,-11.473868,4.429281,0.685121,-4.329995,-12.289798,0.413218,-0.248674,0.482395,-0.731237,
110,1006038933,-2.788206,-11.075594,4.780611,-2.185406,-5.229722,-15.756922,0.411922,-0.250320,0.481828,-0.731780,
111,1006055600,-2.004357,-9.601398,4.334105,-14.316401,-6.149352,-18.598545,0.409954,-0.252971,0.482400,-0.731597,
112,1006072267,-1.307592,-7.705660,3.935812,-18.220108,-6.187513,-19.690256,0.407732,-0.255921,0.483344,-0.731189,
113,1006088934,-1.049691,-7.364712,3.456065,-16.406492,-6.646890,-19.317663,0.405650,-0.258773,0.484075,-0.730860,
114,1006105601,-0.582613,-7.217048,3.247345,-4.416980,-6.486373,-18.674387,0.404076,-0.260847,0.483561,-0.731335,
115,1006122268,0.014943,-7.331945,3.596719,-15.757068,-5.683700,-17.586266,0.402129,-0.263421,0.484337,-0.730971,
116,1006138935,-0.135326,-7.975395,3.810617,-31.937414,-4.903510,-16.931686,0.399570,-0.266809,0.486890,-0.729448,
117,1006155602,0.083400,-8.105350,3.468215,-41.258385,-3.893810,-15.962419,0.396670,-0.270554,0.490507,-0.727225,
118,1006172269,0.170954,-8.516407,3.456429,-23.164595,-3.822309,-14.664987,0.394603,-0.273151,0.492248,-0.726202,
119,1006188936,0.315291,-8.082658,3.659955,-3.409001,-4.877199,-12.973225,0.393570,-0.274604,0.491903,-0.726448,
120,1006205603,0.490668,-9.156984,3.374590,-10.098852,-4.747856,-12.561415,0.392302,-0.276398,0.492281,-0.726197,
121,1006222270,0.535543,-9.100713,3.515107,-12.593184,-3.265988,-13.322366,0.390742,-0.278236,0.492972,-0.725867,
