PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
1;2737342654;0.002822;0.016917;-0.088314;0.026272;0.009799;0.009750;0.828489;-0.070841;0.317085;-0.456118
2;2737359321;-4.059979;-2.682621;7.158724;-39.239567;36.361069;-20.444330;0.826094;-0.073425;0.320361;-0.457762
3;2737375988;-4.269774;-3.247962;6.978761;-45.589996;38.464108;-18.250870;0.825979;-0.069901;0.322892;-0.456742
4;2737392655;-4.066266;-4.410906;7.271759;-43.042847;40.833817;-17.423065;0.824968;-0.068137;0.328198;-0.455051
5;2737409322;-4.132142;-4.479957;8.277671;-32.769039;40.969254;-17.910860;0.822206;-0.071573;0.333832;-0.455424
6;2737425989;-4.118635;-3.126960;7.745636;-31.236753;40.734600;-17.432428;0.819535;-0.076009;0.337616;-0.456728
7;2737442656;-4.601228;-2.688433;6.451959;-40.392490;43.322067;-15.573559;0.817424;-0.078694;0.341542;-0.457136
8;2737459323;-5.415961;-3.924486;7.660404;-52.855598;45.695499;-13.062631;0.815203;-0.080808;0.348203;-0.455706
9;2737475990;-5.591941;-5.208824;8.467529;-42.920860;44.792976;-12.845386;0.812731;-0.081567;0.355043;-0.454709
10;2737492657;-5.045637;-4.504082;9.166895;-39.631226;43.055077;-13.174340;0.809982;-0.082993;0.361773;-0.454051
11;2737509324;-4.923763;-4.201001;7.633075;-48.144272;42.583347;-12.509494;0.807305;-0.085529;0.368181;-0.453195
12;2737525991;-4.947386;-4.222348;7.297360;-63.183681;43.696476;-10.338976;0.804363;-0.089727;0.375807;-0.451353
13;2737542658;-4.869000;-5.963821;5.927037;-67.241470;45.907387;-9.549191;0.800980;-0.094162;0.384114;-0.449468
14;2737559325;-4.858473;-5.705933;6.991359;-71.513153;46.910694;-9.565762;0.796798;-0.099776;0.393508;-0.447560
15;2737575992;-5.434817;-5.042809;6.498872;-71.617332;47.477146;-8.936954;0.792283;-0.105546;0.402997;-0.445805
