PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
1;988196113;0.347769;-9.128480;-5.225194;-4.908559;0.330769;1.423650;-0.302864;0.493475;0.716873;-0.388396
2;988212780;0.417376;-9.411158;-4.648773;4.499774;0.440980;2.089414;-0.303256;0.493399;0.716491;-0.388892
3;988229447;0.670627;-9.057207;-5.097971;26.349403;0.592801;2.450238;-0.305211;0.492401;0.714834;-0.391668
4;988246114;1.026585;-8.202980;-4.919884;35.652252;0.117095;2.682962;-0.307762;0.490976;0.712636;-0.395447
5;988262781;1.018913;-8.124580;-4.946400;31.244768;-0.383513;3.359969;-0.309900;0.489777;0.710649;-0.398825
6;988279448;0.916647;-8.036165;-4.739405;15.664544;-1.133248;4.387837;-0.310788;0.489337;0.709517;-0.400685
7;988296115;0.833079;-8.582017;-4.557405;10.612005;-1.165865;4.009356;-0.311333;0.489082;0.708706;-0.402007
8;988312782;1.063383;-7.709087;-4.789527;4.510185;-1.799856;3.278201;-0.311422;0.488989;0.708332;-0.402710
9;988329449;1.082101;-8.799026;-3.640597;-4.247188;-1.201569;3.196753;-0.310954;0.489320;0.708449;-0.402463
10;988346116;1.294870;-8.920547;-5.110048;6.227787;0.101407;2.001486;-0.311437;0.489128;0.707979;-0.403149
11;988362783;0.966290;-9.803149;-5.610433;2.887045;-1.018643;3.479697;-0.311482;0.489173;0.707651;-0.403636
12;988379450;0.980787;-11.376147;-4.156144;38.302132;-0.273058;4.102978;-0.314082;0.487713;0.705154;-0.407737
13;988396117;0.174445;-7.678070;-5.216919;48.552628;0.164480;4.725986;-0.317406;0.485853;0.701955;-0.412871
14;988412784;-0.144763;-12.617355;-4.916746;68.250244;0.098066;5.526447;-0.322040;0.483126;0.697468;-0.420025
15;988429451;0.888537;-7.001883;-4.995495;75.765625;1.299890;4.985556;-0.327321;0.480012;0.692423;-0.427788
16;988446118;0.932403;-8.798775;-5.178401;13.215785;-0.542618;5.312981;-0.328007;0.479763;0.691294;-0.429366
17;988462785;0.060189;-10.363148;-4.903573;16.252932;-0.280831;5.067189;-0.328944;0.479358;0.689977;-0.431214
18;988479452;-0.385989;-11.803918;-4.418596;55.469284;1.617902;6.517473;-0.332701;0.477326;0.685984;-0.436920
