PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
1;3354628280;-0.029531;0.028070;-0.020675;-0.062340;-0.337790;-0.042827;0.424071;0.016170;0.897960;0.116490
2;3354644947;-8.896388;3.577494;-8.197881;31.214884;-18.279274;-12.337392;0.424624;0.019239;0.897613;0.116683
3;3354661614;-8.889771;3.963120;-8.276678;16.420004;-12.905199;-8.848217;0.418901;0.024615;0.899693;0.120285
4;3354678281;-8.667685;3.516764;-8.662449;9.514374;-9.066145;-5.182604;0.412394;0.032084;0.901675;0.126030
5;3354694948;-8.741950;3.250896;-8.958115;9.950505;-5.226952;-1.314905;0.405499;0.038182;0.904257;0.128186
6;3354711615;-8.899806;2.421885;-8.991790;10.647159;-1.125141;2.587479;0.399209;0.043254;0.906942;0.127351
7;3354728282;-9.063539;1.081994;-7.005998;8.114048;-0.223958;4.359737;0.394540;0.046367;0.909295;0.123982
8;3354744949;-8.444055;0.639238;-7.328062;2.182542;1.368711;5.311312;0.393780;0.047729;0.910228;0.118925
9;3354761616;-8.484597;0.301988;-6.820755;-2.320536;1.837103;5.883231;0.393928;0.047667;0.910859;0.113515
10;3354778283;-8.099310;-0.576447;-6.460053;1.226599;0.860452;4.522710;0.395024;0.046822;0.911177;0.107330
11;3354794950;-8.058051;-0.750271;-6.124016;4.282412;-0.333721;3.287653;0.396682;0.045690;0.911328;0.100184
12;3354811617;-8.089309;-1.255217;-6.220578;2.556103;-1.591688;0.724436;0.398773;0.043453;0.911251;0.093342
13;3354828284;-8.491683;-0.497367;-7.031679;1.214612;-3.115516;-1.329811;0.401121;0.040447;0.911019;0.086666
14;3354844951;-8.474485;-0.312360;-7.469977;5.277094;-2.405737;-2.422885;0.403145;0.037625;0.910865;0.079900
15;3354861618;-8.462376;-0.292407;-6.577249;6.848369;-2.433796;-3.656969;0.404840;0.034862;0.910767;0.073431
16;3354878285;-8.156563;0.284508;-6.672897;5.661182;-2.315465;-4.799948;0.406511;0.032149;0.910576;0.067578
17;3354894952;-7.880765;0.604271;-6.637454;5.993123;-1.861647;-5.125524;0.407961;0.029486;0.910385;0.062423
18;3354911619;-7.931202;0.560318;-6.240105;11.548049;-2.055523;-5.440717;0.409263;0.027634;0.910212;0.057049
19;3354928286;-8.167314;0.494619;-6.260793;12.466022;-1.350917;-5.884739;0.410402;0.025860;0.910047;0.052114
20;3354944953;-8.233068;0.269312;-6.085170;15.347495;-1.563260;-6.686752;0.411553;0.024643;0.909839;0.047022
21;3354961620;-7.678251;0.681794;-5.864066;20.518566;-1.906305;-7.821402;0.412734;0.023736;0.909597;0.041479
22;3354978287;-7.151302;0.969468;-5.510891;24.119259;-2.499664;-8.092966;0.413930;0.023170;0.909310;0.035785
23;3354994954;-7.236142;0.497262;-5.460847;23.224703;-2.716258;-8.863127;0.415098;0.022614;0.908984;0.030504
24;3355011621;-7.544518;0.142098;-5.673414;24.756315;-2.426335;-9.091480;0.416176;0.022226;0.908662;0.025230
25;3355028288;-7.817253;-0.242540;-5.784952;27.018650;-1.913095;-10.339762;0.417144;0.021880;0.908363;0.019726
26;3355044955;-7.742953;-0.059656;-5.842783;22.424881;-1.933763;-10.760225;0.418100;0.021245;0.908031;0.014888
27;3355061622;-7.055626;0.002961;-5.647858;24.664690;-1.049509;-11.268810;0.418892;0.020731;0.907746;0.009830
28;3355078289;-7.231124;-0.235699;-5.395751;26.549078;-1.512434;-10.228128;0.419670;0.020524;0.907433;0.004690
29;3355094956;-7.124307;-0.297303;-5.365646;29.121601;-1.699536;-10.355608;0.420430;0.020498;0.907093;-0.000722
30;3355111623;-7.378455;-0.619405;-5.818231;24.021841;-1.873163;-9.681891;0.421191;0.020285;0.906729;-0.005353
31;3355128290;-7.817832;-1.135067;-6.020360;20.281189;-1.143981;-10.752588;0.421818;0.019725;0.906416;-0.009513
32;3355144957;-8.005904;-1.426719;-5.995360;19.079195;-1.907163;-11.559210;0.422512;0.018988;0.906057;-0.013564
33;3355161624;-7.825413;-0.686010;-5.911376;22.303762;-2.484335;-13.061981;0.423246;0.018248;0.905649;-0.018143
